ACETATE-ext,"0,01"
CO2-ext,1
ETOH-ext,1
FORMATE-ext,"0,01"
GLU-ext,22
LACTATE-ext,"0,01"
OXY-ext,"0,21"
SUCC-ext,"0,01"
H-ext,"0,01"
BIOMASS,1
